Issue Type,Summary,Description,Epic Link,Priority,Story Points,Labels
Epic,Phase 3: Multi-Channel Orchestration,"Channel connector abstraction, posting endpoint, channel result persistence.",,Highest,13,"phase3,multichannel"
Epic,Phase 3: Viral Prediction & Alerts,"Prediction service, alert events, escalation policy, prediction history.",,High,13,"phase3,prediction"
Epic,Phase 3: Competitive Intelligence,"Competitor config, benchmark analytics APIs, UI benchmark cards.",,High,8,"phase3,competitive"
Story,Create ChannelConnector interface and factory,"Define channel posting contract and registry for connector selection.",Phase 3: Multi-Channel Orchestration,Highest,3,"phase3,multichannel,backend"
Story,Implement MockChannelConnector,"Safe default connector for all environments and tests.",Phase 3: Multi-Channel Orchestration,Highest,2,"phase3,multichannel,backend"
Story,Implement TwitterChannelConnector scaffold,"Config-gated connector with auth/config validation and graceful failure.",Phase 3: Multi-Channel Orchestration,High,5,"phase3,multichannel,backend"
Story,Add reply posting endpoint,"POST /api/replies/{mentionId}/post with channel selection and tenant checks.",Phase 3: Multi-Channel Orchestration,Highest,5,"phase3,multichannel,api"
Story,Persist channel posting results,"Store per-channel posting status, externalPostId, and error details.",Phase 3: Multi-Channel Orchestration,High,3,"phase3,multichannel,db"
Story,Add frontend channel post action,"UI action for posting approved reply to selected channels.",Phase 3: Multi-Channel Orchestration,High,3,"phase3,multichannel,frontend"
Story,Create PredictionService,"Compute virality score and confidence from mention + trend features.",Phase 3: Viral Prediction & Alerts,High,5,"phase3,prediction,backend"
Story,Add prediction history persistence,"Store prediction outputs for audit and threshold tuning.",Phase 3: Viral Prediction & Alerts,Medium,3,"phase3,prediction,db"
Story,Emit predicted crisis WebSocket event,"Publish alert.predicted_crisis with mention and prediction payload.",Phase 3: Viral Prediction & Alerts,High,3,"phase3,prediction,websocket"
Story,Add escalation rule for high virality,"Auto-bump priority/escalation when score exceeds threshold.",Phase 3: Viral Prediction & Alerts,High,3,"phase3,prediction,backend"
Story,Add prediction analytics endpoint,"Expose prediction history and accuracy metrics by tenant/window.",Phase 3: Viral Prediction & Alerts,Medium,3,"phase3,prediction,api"
Story,Add competitor handle config,"Tenant-scoped competitor handle list and validation.",Phase 3: Competitive Intelligence,High,3,"phase3,competitive,backend"
Story,Build competitive sentiment comparison endpoint,"Return own-vs-competitor sentiment summary.",Phase 3: Competitive Intelligence,High,3,"phase3,competitive,api"
Story,Build competitive volume trend endpoint,"Return own-vs-competitor time-series volume trend.",Phase 3: Competitive Intelligence,High,3,"phase3,competitive,api"
Story,Add share-of-voice endpoint,"Compute relative mention share across configured handles.",Phase 3: Competitive Intelligence,Medium,2,"phase3,competitive,api"
Story,Add frontend benchmark cards,"Render comparative sentiment/volume/share widgets.",Phase 3: Competitive Intelligence,High,3,"phase3,competitive,frontend"
Story,Phase 3 hardening and release gate,"Integration tests, release checklist, gate script, rollback notes.",Phase 3: Competitive Intelligence,High,5,"phase3,release,qa"

